sample_id,gt,docker_pred,docker_conf,single_pred,ok_raw,ok_norm,docker_eq_single,dt_ms
id_1000_value_176_881,176881,0017688,0.6922,0017688,False,False,True,364.86
id_1001_value_1113_124,1113124,01113124,0.7671,01113124,False,True,True,116.08
id_1002_value_105_174,105174,00105174,0.7998,00105174,False,True,True,137.85
id_1007_value_60_219,60219,00060219,0.7985,00060219,False,True,True,152.72
id_100_value_51_256,51256,00051256,0.7547,00051256,False,True,True,124.85
id_1010_value_109_919,109919,00109919,0.7532,00109919,False,True,True,222.62
id_1012_value_591_381,591381,00591381,0.8063,00591381,False,True,True,146.54
id_1014_value_189_678,189678,00189678,0.7777,00189678,False,True,True,79.33
id_1015_value_1309_052,1309052,01309052,0.7728,01309052,False,True,True,190.56
id_1017_value_151_374,151374,00151374,0.7634,00151374,False,True,True,200.53
id_1018_value_10_448,10448,00010448,0.7518,00010448,False,True,True,97.51
id_1024_value_1_862,1862,00001862,0.7643,00001862,False,True,True,82.95
id_1027_value_654_785,654785,00654785,0.8045,00654785,False,True,True,89.94
id_1032_value_776_247,776247,00776247,0.8091,00776247,False,True,True,99.45
id_1038_value_163_397,163397,00163397,0.7844,00163397,False,True,True,129.1
id_1040_value_127_865,127865,00127865,0.6643,00127865,False,True,True,90.77
id_1041_value_22_136,22136,00022136,0.7584,00022136,False,True,True,89.58
id_1044_value_44_311,44311,00044314,0.7326,00044314,False,False,True,115.22
id_1045_value_122_269,122269,00122269,0.7969,00122269,False,True,True,102.67
id_1049_value_166_511,166511,00166511,0.7839,00166511,False,True,True,174.97
id_104_value_322_032,322032,00322032,0.7679,00322032,False,True,True,93.63
id_1057_value_206_805,206805,00206805,0.7992,00206805,False,True,True,112.99
id_105_value_78_404,78404,00078404,0.6963,00078404,False,True,True,113.69
id_1061_value_572_883,572883,00572883,0.8001,00572883,False,True,True,113.74
id_1074_value_58_072,58072,00058072,0.799,00058072,False,True,True,140.84
id_1076_value_190_063,190063,00190063,0.7676,00190063,False,True,True,97.33
id_107_value_124_374,124374,00124374,0.7984,00124374,False,True,True,135.92
id_1082_value_1084_591,1084591,01084590,0.7491,01084590,False,False,True,123.42
id_1087_value_69_608,69608,00069608,0.798,00069608,False,True,True,152.9
id_1091_value_2987_435,2987435,02987435,0.7332,02987435,False,True,True,146.32
id_1096_value_250_756,250756,00250756,0.7887,00250756,False,True,True,118.55
id_109_value_427_194,427194,00427194,0.8024,00427194,False,True,True,104.84
id_1101_value_9_229,9229,00009229,0.7813,00009229,False,True,True,104.97
id_1112_value_752_641,752641,00752641,0.7903,00752641,False,True,True,104.8
id_1113_value_134_282,134282,00134282,0.7715,00134282,False,True,True,174.16
id_1115_value_433_019,433019,00433019,0.7991,00433019,False,True,True,132.49
id_1116_value_73_866,73866,0073866,0.6154,0073866,False,True,True,94.53
id_1117_value_101_299,101299,00101299,0.7414,00101299,False,True,True,150.53
id_1119_value_41_906,41906,00041906,0.7618,00041906,False,True,True,129.43
id_1122_value_62_663,62663,00062663,0.7991,00062663,False,True,True,101.49
id_1123_value_600_494,600494,00600494,0.7784,00600494,False,True,True,101.59
id_1126_value_31_744,31744,00031744,0.7538,00031744,False,True,True,136.64
id_1127_value_25_768,25768,00025768,0.7878,00025768,False,True,True,140.13
id_1128_value_19_766,19766,00019766,0.7779,00019766,False,True,True,117.49
id_112_value_365_387,365387,00365380,0.7251,00365380,False,False,True,118.51
id_1131_value_40_506,40506,00040506,0.808,00040506,False,True,True,125.55
id_1134_value_366_995,366995,00366994,0.7187,00366994,False,False,True,114.14
id_1136_value_1054_406,1054406,01054406,0.7807,01054406,False,True,True,90.29
id_113_value_330_374,330374,00330374,0.7914,00330374,False,True,True,122.65
id_1140_value_42_994,42994,00042994,0.7541,00042994,False,True,True,122.48
id_1141_value_962_339,962339,00962339,0.7825,00962339,False,True,True,87.65
id_1146_value_90_393,90393,00090393,0.7855,00090393,False,True,True,145.69
id_1148_value_395_131,395131,00395131,0.7715,00395131,False,True,True,91.67
id_1149_value_49_279,49279,00049279,0.7754,00049279,False,True,True,91.39
id_1151_value_22_418,22418,00022418,0.804,00022418,False,True,True,75.12
id_1153_value_0_117,0117,00000117,0.6505,00000117,False,True,True,99.17
id_1154_value_29_701,29701,00029701,0.7006,00029701,False,True,True,109.74
id_1156_value_61_991,61991,00061991,0.791,00061991,False,True,True,95.97
id_1161_value_71_024,71024,00071024,0.7614,00071024,False,True,True,157.14
id_1163_value_117_431,117431,00117431,0.7957,00117431,False,True,True,96.09
id_1166_value_165_706,165706,00165706,0.729,00165706,False,True,True,91.37
id_116_value_56_516,56516,00056516,0.7906,00056516,False,True,True,119.77
id_1170_value_1681_531,1681531,01681631,0.7258,01681631,False,False,True,145.8
id_1176_value_29_682,29682,00029682,0.7919,00029682,False,True,True,123.63
id_117_value_32_579,32579,00032579,0.7938,00032579,False,True,True,108.39
id_1190_value_197_546,197546,00197546,0.8075,00197546,False,True,True,160.04
id_1191_value_499_494,499494,00499494,0.8074,00499494,False,True,True,102.8
id_1192_value_249_791,249791,00279791,0.7187,00279791,False,False,True,98.98
id_1199_value_214_285,214285,00214285,0.7942,00214285,False,True,True,143.78
id_119_value_37_902,37902,00037902,0.7986,00037902,False,True,True,130.42
id_1200_value_112_622,112622,00112622,0.8046,00112622,False,True,True,103.02
id_1201_value_54_352,54352,00054352,0.8151,00054352,False,True,True,153.73
id_1204_value_78_677,78677,00078677,0.8142,00078677,False,True,True,165.08
id_1205_value_349_113,349113,00349113,0.616,00349113,False,True,True,128.32
id_1212_value_657_222,657222,00657225,0.7772,00657225,False,False,True,128.68
id_1218_value_211_084,211084,00211084,0.8107,00211084,False,True,True,127.75
id_1220_value_357_706,357706,00357706,0.7688,00357706,False,True,True,82.1
id_1221_value_15_418,15418,00015418,0.7967,00015418,False,True,True,104.92
id_1222_value_63_315,63315,00063315,0.7993,00063315,False,True,True,88.42
id_1226_value_8_806,8806,00008806,0.7795,00008806,False,True,True,93.8
id_1228_value_250_361,250361,00250361,0.7621,00250361,False,True,True,84.91
id_1230_value_424_297,424297,0024297,0.6939,0024297,False,False,True,158.2
id_1238_value_71_175,71175,00071175,0.7672,00071175,False,True,True,90.84
